point,x,y,z,abs_rel_error
0,0.14106735979665894,-0.99,0.0,0.06998995691537857
15,-0.09301724105771997,-0.69,-0.7178076294286723,0.2498832643032074
15,-0.09301724105771997,-0.69,-0.7178076294286723,0.21813659369945526
24,0.42766226127270884,-0.51,0.7463276695146129,0.1559964269399643
92,0.3335523795842149,0.8500000000000001,0.40772884380885743,0.13351023197174072
58,0.5588657069137133,0.16999999999999993,0.811645933665558,0.15507623553276062
32,0.15866307873945915,-0.35,0.9232150494033967,0.3439832627773285
66,0.236155718741352,0.33000000000000007,0.9139641549348396,0.2525908648967743
96,-0.17962342143733764,0.9299999999999999,-0.32067963214264905,0.09866443276405334
74,-0.08467967930963359,0.49,0.8675997648178667,0.29616641998291016
25,-0.8304836655326296,-0.49,-0.2649469405059952,0.23654350638389587
63,0.8863889253260228,0.27,0.37605142342421527,0.2621805667877197
7,-0.24279784123187995,-0.85,-0.4674924687020518,0.17329668998718262
53,0.03635382764311213,0.07000000000000005,0.9968843459577921,0.19556397199630737
14,-0.40500710772062326,-0.71,0.5760809341540262,0.14000706374645233
42,0.9535255164458032,-0.15000000000000002,0.26132181211442057,0.15500541031360626
49,-0.20994188111981057,-0.010000000000000018,-0.97766272637954,0.16019296646118164
42,0.9535255164458032,-0.15000000000000002,0.26132181211442057,0.12568378448486328
3,0.22363749507608174,-0.9299999999999999,0.2916955104147056,0.16248001158237457
12,-0.5722834231380972,-0.75,-0.3316499413558544,0.1419387012720108
0,0.14106735979665894,-0.99,0.0,0.07590681314468384
14,-0.40500710772062326,-0.71,0.5760809341540262,0.20719332993030548
44,0.34550733637457615,-0.11,-0.9319467154893275,0.2475145310163498
33,-0.7463332015518084,-0.32999999999999996,-0.5780023808440825,0.15789173543453217
17,-0.7592852649071572,-0.6499999999999999,0.03139882951430177,0.16933567821979523
1,-0.17925799888815613,-0.97,0.1642150109905116,0.12287665903568268
85,-0.6892192113800709,0.71,0.14448833400878117,0.32707351446151733
80,-0.7416320598954952,0.6100000000000001,-0.27907326589117165,0.22031305730342865
4,-0.40827033374843424,-0.91,-0.07221727342500583,0.08127215504646301
72,-0.8929860511231916,0.44999999999999996,-0.008712777938673174,0.1319955587387085
77,-0.7090144449898004,0.55,0.4413598495511404,0.1569271683692932
46,-0.901439181495355,-0.06999999999999997,-0.4272088506398064,0.24924258887767792
18,0.5504734730017758,-0.63,-0.5477946289635953,0.19271348416805267
48,-0.5053947738603612,-0.030000000000000034,0.8623665824663165,0.16289986670017242
12,-0.5722834231380972,-0.75,-0.3316499413558544,0.24802124500274658
10,0.25986287961937526,-0.79,-0.5553118797540045,0.15236453711986542
53,0.03635382764311213,0.07000000000000005,0.9968843459577921,0.32176145911216736
10,0.25986287961937526,-0.79,-0.5553118797540045,0.19732974469661713
86,0.3985067064328888,0.73,-0.5552408530791043,0.23106499016284943
50,0.8152062920736045,0.01,0.5790843646340359,0.1722637563943863
77,-0.7090144449898004,0.55,0.4413598495511404,0.24001415073871613
33,-0.7463332015518084,-0.32999999999999996,-0.5780023808440825,0.26314693689346313
