input,rand_x,rand_y,abs_rel,sq_rel,rms_sq_lin,rms_sq_log,d1,d2,d3
308ed5f320429e1295db6c872b27ad0b1_color_0_Left_Down_0.0,-22.58277860747475,81.12857515378491,0.27701833844184875,0.2180495709180832,0.6471500992774963,0.16065290570259094,0.3439874053001404,0.7062132358551025,0.9339942336082458
83_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,41.75890952605292,17.758527155466595,0.1721327155828476,0.07489418983459473,0.1374330222606659,0.05681697279214859,0.7061634659767151,0.9215705990791321,0.9885048270225525
76_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-61.916644720361425,-61.92098633948352,0.16228991746902466,0.11792422086000443,0.4103589951992035,0.06310197710990906,0.7765792608261108,0.9296461939811707,0.9643574357032776
153_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-79.5449498097241,65.91170623948832,0.5833867192268372,0.6791194677352905,0.9953070282936096,0.247176855802536,0.2187497615814209,0.5870371460914612,0.8189119100570679
169_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,18.20070211377758,37.45306400328819,0.21205833554267883,0.1354047805070877,0.2721139192581177,0.07640780508518219,0.593200147151947,0.9051059484481812,0.9773923754692078
50_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,-86.29479102675556,84.58377338915898,0.170149028301239,0.10647596418857574,0.3502170741558075,0.053639184683561325,0.7106549143791199,0.939788818359375,0.9919331073760986
4_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,59.839675344075914,-51.77896007791029,0.1539999544620514,0.13229678571224213,0.5426859855651855,0.05966982990503311,0.7570797204971313,0.928378701210022,0.9777998328208923
166_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-57.27150590272189,-56.98718822638191,0.3268934190273285,0.23654626309871674,0.4165525734424591,0.10938479751348495,0.40744221210479736,0.8464446663856506,0.9809325933456421
2_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-35.23639626728321,4.456157693802808,0.1397339105606079,0.05441123992204666,0.09749644994735718,0.027517255395650864,0.812940239906311,0.9953364133834839,0.9997556805610657
12_area_31_color_0_Left_Down_0.0,-12.249896644419167,-37.57875476435245,0.20589569211006165,0.1380416750907898,0.28333964943885803,0.0629812628030777,0.6699725985527039,0.9222094416618347,0.9805924892425537
43_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,20.133521050028307,-64.89110508263246,0.2902376055717468,0.22100408375263214,0.458290696144104,0.10988686233758926,0.4965934455394745,0.8180604577064514,0.9629208445549011
72_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-37.41396326366073,-24.0548682071355,0.18414568901062012,0.12743374705314636,0.37142106890678406,0.07782943546772003,0.6902930736541748,0.8909341096878052,0.9822192192077637
34_area_31_color_0_Left_Down_0.0,-7.907402840933528,51.33167305074244,0.13868659734725952,0.078028604388237,0.2426030933856964,0.036934297531843185,0.826869547367096,0.960127055644989,0.9952990412712097
6_area_31_color_0_Left_Down_0.0,-54.058719211495244,2.562198914450093,0.19538824260234833,0.1308070719242096,0.3996044099330902,0.05986408889293671,0.6325244903564453,0.9417917728424072,0.9926748275756836
168_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,16.63462239516764,-81.63892571040041,0.2484748363494873,0.19131024181842804,0.5208995342254639,0.0793369710445404,0.5363240838050842,0.9172065854072571,0.9867163896560669
